English,Danish,Match,Sim_Score
"""After breakfast we went outside on deck to fish.","""Bagefter gik vi på dækket, hvor jeg fangede et par torsk.",Perfect Match,0.7459509372711182
"""As museum director I am extremely excited about the arrangement with Thrane & Thrane.",”Som direktør for Vikingeskibsmuseet er jeg utroligt glad for aftalen med Thrane & Thrane.,Perfect Match,0.7484296560287476
"""But haven't you forgotten the most important bit...?!""","""Men du har jo glemt det vigtigste...?!""",Perfect Match,0.7768659591674805
"""At the Viking Ship Museum we have moved the research out to the boatyard and out at sea.",”Men kom dog ned på Vikingeskibsmuseet og fornem den helt særlige stemning omkring dette projekt.,No Match,0.5917789936065674
"""Espings"" were used for travel on the lakes and rivers of inner Finland.","Hånd, sprog og stil kan vise identisk ophavsmand.",English Match,0.10943055152893066
"""But you should come to the Viking Ship Museum and sense the very special mood around this project.",Espingerne blev brugt til færdsel på søer og vandløb i det indre Finland.,English Match,0.21516208350658417
"""Hand"", language and style can point to identical author.","""Jeg kender Danmark for to ting; Muhammed-krisen og Havhingsten"".",English Match,0.20499548316001892
"When we get close, we will decide whether the ship and crew are in a state to go on.","Når vi nærmer os, vurderer vi om skib og mandskab er i form til at fortsætte.",No Match,0.8137542009353638
"""It's a lump of amber the size of a chicken egg - it's just come up - and it's been worked, it has clear incisions and a drilled hole, I can't talk more now - I'll send photos!""","”At dømme ud fra de mange spørgsmål, jeg modtager, er det hævet over enhver tvivl, at mange vil stå langs Kattegats strande og håbe på et glimt af Havhingsten i det fjerne.",English Match,0.3645046055316925
"""Long swords ""May the ship be easy for the oars, fast from the wind, but do not run from its skipper""... ""My stomach turns ones in a while when I realize that we still need 7, 5 mio.kr in our budget.","På togtet til Dublin kommer vi nord og vest for Skotland ud i farvande, der er kendte for tåge, regn og barske vinde... en noget anden kop te end en norsk skærgård på en solbeskinnet midsommerdag.",No Match,0.24645794928073883
"""Oh, yes,"" I replied, adding: ""I've also been member of the crew on board the Sea Stallion.""","""Nå ja,"" føjede jeg til: ""Jeg har også været gast om bord på Havhingsten"". """,English Match,0.7374090552330017
"""One has to admit, that the project suddenly took a different direction than what was planned.","""Man må sige, at projektet pludselig har taget en noget anden drejning, end det oprindeligt var tænkt. """,English Match,0.9541091322898865
